date,total_skills,total_installs_alltime,total_downloads_alltime
2026-07-15,68135,2296947,70306417
2026-07-14,68083,2296668,70125904
2026-07-16,68273,2287795,69940381
2026-07-17,68697,2288771,69937127
2026-07-18,68940,2225212,68209824
2026-07-19,69054,2224155,68195723
2026-07-20,69180,2225357,68254074
2026-07-21,69322,2223160,68221071
2026-07-22,69533,2205898,67752535
2026-07-23,69916,2203241,67692076
2026-07-24,70260,2202522,67714564
2026-07-25,70597,2199896,67687516
2026-07-26,70711,2202176,67780338
2026-07-27,71057,2199344,67761094
2026-07-28,71275,2197599,67760103
2026-07-29,71376,2196586,67757848
2026-07-30,71775,2194395,67756576
2026-07-31,71944,2194545,67797417
2026-08-01,72099,2192411,67788884
2026-08-02,72162,2192306,67818737
2026-08-03,72361,2140273,66417513
2026-08-04,72478,2139753,66430240
