package,date,total_stars
langgraph,2026-07-14,37287
langgraph,2026-07-15,37333
crewai,2026-07-15,55549
n8n,2026-07-15,196500
agent-framework,2026-07-15,12129
langgraph,2026-07-16,37411
crewai,2026-07-16,55605
agent-framework,2026-07-16,12156
n8n,2026-07-16,196625
langgraph,2026-07-17,37489
crewai,2026-07-17,55676
agent-framework,2026-07-17,12175
n8n,2026-07-17,196761
langgraph,2026-07-18,37537
crewai,2026-07-18,55716
agent-framework,2026-07-18,12198
n8n,2026-07-18,196886
langgraph,2026-07-19,37587
crewai,2026-07-19,55761
agent-framework,2026-07-19,12219
n8n,2026-07-19,197003
langgraph,2026-07-20,37661
crewai,2026-07-20,55828
agent-framework,2026-07-20,12238
n8n,2026-07-20,197132
langgraph,2026-07-21,37734
crewai,2026-07-21,55878
agent-framework,2026-07-21,12272
n8n,2026-07-21,197293
