package,date,downloads
n8n,2026-06-14,6539
n8n,2026-06-15,9920
n8n,2026-06-16,12634
n8n,2026-06-17,12352
n8n,2026-06-18,9667
n8n,2026-06-19,10145
n8n,2026-06-20,11671
n8n,2026-06-21,14154
n8n,2026-06-22,14710
n8n,2026-06-23,16480
n8n,2026-06-24,13741
n8n,2026-06-25,10615
n8n,2026-06-26,11185
n8n,2026-06-27,10470
n8n,2026-06-28,8797
n8n,2026-06-29,11605
n8n,2026-06-30,10127
n8n,2026-07-01,12209
n8n,2026-07-02,14274
n8n,2026-07-03,14735
n8n,2026-07-04,11137
n8n,2026-07-05,10062
n8n,2026-07-06,13274
n8n,2026-07-07,11120
n8n,2026-07-08,11876
n8n,2026-07-09,0
n8n,2026-07-10,9270
n8n,2026-07-11,9296
n8n,2026-07-12,0
n8n,2026-07-13,9240
