date,transactions_count
2026-06-27,63904
2026-06-28,103533
2026-06-29,356762
2026-06-30,301131
2026-07-01,675569
2026-07-02,1684389
2026-07-03,1352292
2026-07-04,1072056
2026-07-05,703044
2026-07-06,1064633
2026-07-07,1275019
2026-07-08,6892842
2026-07-09,7624955
2026-07-10,10832037
2026-07-11,10444429
2026-07-12,7860297
2026-07-13,7771306
2026-07-14,8229285
2026-07-15,10516163
2026-07-16,9762855
2026-07-17,7989839
2026-07-18,6334934
2026-07-19,6555573
2026-07-20,8414211
2026-07-21,10251965
2026-07-22,9958329
2026-07-23,8312923
2026-07-24,7370557
2026-07-25,6244059
2026-07-26,7082160
2026-07-27,8591973
