date,total_addresses,total_transactions,total_blocks
2026-07-28,4748719,184071935,21952297
2026-07-29,4763622,185550194,22022725
2026-07-30,5046250,197188651,23190924
2026-07-31,5304140,207383178,24063948
2026-08-01,5533745,216292847,24897522
2026-08-02,5734027,225037528,25762692
2026-08-03,5901195,234874214,26675947
2026-08-04,6069888,245679416,27505386
2026-08-05,6248148,257020521,28365233
2026-08-06,6446988,271279939,29227198
2026-08-07,6687641,284501249,30025979
2026-08-08,6904918,296483009,30886626
2026-08-09,7123142,307105174,31749769
2026-08-10,7268390,318041629,32641467
2026-08-11,7476391,332312619,33486517
2026-08-12,11522824,359397249,34361515
